"u47cd9bdaec7161a42e70c7de5d03495c|1516201449277" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516202248092" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516202250006" 
"ua1f0c778cd041385c5dc22c57f2b0301|1516202251239" 
"u0e59a143de7d2febfbf40544d3cb5d86|1516202284471" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516202344329" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516202449982" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203155700" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516203155933" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203157213" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203161897" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516203162108" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203163145" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203164359" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516203164448" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203171705" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516203172470" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203174427" 
"u5917f2d6271b091594d020a4bc6a12eb|1516203178572" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203179593" 
"u5917f2d6271b091594d020a4bc6a12eb|1516203179895" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516203180352" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203181553" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203185124" 
"u8e0e805b76a4fe0daac53fb715ed3449|1516203185617" 
"u5917f2d6271b091594d020a4bc6a12eb|1516203185668" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203186627" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516203186981" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203202957" 
"u5917f2d6271b091594d020a4bc6a12eb|1516203203322" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516203204168" 
"u269f2091fa2abbc3ddadfc9f90ac095b|1516203204154" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203204873" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516203207750" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516203211304" 
"u5cf17c7b921646c01adcfb3783154278|1516203212423" 
"u8e0e805b76a4fe0daac53fb715ed3449|1516203213806" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203225098" 
"u269f2091fa2abbc3ddadfc9f90ac095b|1516203225494" 
"u5917f2d6271b091594d020a4bc6a12eb|1516203225461" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203227745" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516203226595" 
"u269f2091fa2abbc3ddadfc9f90ac095b|1516203228193" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203229211" 
"u269f2091fa2abbc3ddadfc9f90ac095b|1516203234806" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203234486" 
"u5917f2d6271b091594d020a4bc6a12eb|1516203234838" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203235292" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203237840" 
"u5917f2d6271b091594d020a4bc6a12eb|1516203238131" 
"u269f2091fa2abbc3ddadfc9f90ac095b|1516203238132" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203240363" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516203248752" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203261654" 
"u269f2091fa2abbc3ddadfc9f90ac095b|1516203262046" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516203262252" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516203262363" 
"u269f2091fa2abbc3ddadfc9f90ac095b|1516203262593" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516203262671" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516203263040" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516203269768" 
"u8e0e805b76a4fe0daac53fb715ed3449|1516203293792" 
"u55a891931b415755c8cba0420e279c91|1516203321698" 
"u55a891931b415755c8cba0420e279c91|1516203332549" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516892768877" 
"uc0450bc4c45698bbac3bdb571ab503f4|1516892769355" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516892785405" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516892785788" 
"uc0450bc4c45698bbac3bdb571ab503f4|1516892786397" 
"ua90de49c01d8527f08d5503d782a8e15|1516892818946" 
"u210bb1e7460bf6a95a5a9f85dd74362b|1516892827870" 
"u5cf17c7b921646c01adcfb3783154278|1516892844635" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516892844664" 
"u8e0e805b76a4fe0daac53fb715ed3449|1516892936917" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516892956661" 
"uaffd096409c7097f295dac43ff255f5c|1516893184945" 
"u38004da990cd165f3d0b8cc920b088bb|1516893188883" 
"uaffd096409c7097f295dac43ff255f5c|1516893214920" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516893214651" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516893215137" 
"ua90de49c01d8527f08d5503d782a8e15|1516893230707" 
"uc31aaba803b80d1d21fe16d08b596d8a|1516893282204" 
"uc0450bc4c45698bbac3bdb571ab503f4|1516893310652" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516893371632" 
"u269f2091fa2abbc3ddadfc9f90ac095b|1516893878987" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516894108619" 
"ucfeff0974100dd03716b78aeb0724282|1516894109365" 
"u0b93a81d47af3aace2e5f6fc933fe909|1516894110345" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516894126290" 
"u5917f2d6271b091594d020a4bc6a12eb|1516894151224" 
"u89082da7aed58c3543703e20d9f9b2d2|1516894205112" 
"u210bb1e7460bf6a95a5a9f85dd74362b|1516894344314" 
"u993518aa7c5c7b210d7d79f488e326b4|1516894462158" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516894533252" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516894541873" 
"ua90de49c01d8527f08d5503d782a8e15|1516894565562" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516894690478" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516894691163" 
"ua90de49c01d8527f08d5503d782a8e15|1516894694077" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516894772587" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516894792783" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516894793516" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516894793486" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516894794198" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516894794926" 
"u993518aa7c5c7b210d7d79f488e326b4|1516894833953" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516894852621" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516894857781" 
"u391ac4887f775f53514723f5d888a551|1516894901622" 
"uaffd096409c7097f295dac43ff255f5c|1516894925114" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516894966668" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516894971774" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516894976920" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516894986952" 
"uaffd096409c7097f295dac43ff255f5c|1516894993185" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895008477" 
"uaffd096409c7097f295dac43ff255f5c|1516895022220" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516895030801" 
"u8e5c1ea320f287b4d8332413d73e91f8|1516895044576" 
"ucfeff0974100dd03716b78aeb0724282|1516895072222" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516895221279" 
"u89082da7aed58c3543703e20d9f9b2d2|1516895266306" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895288433" 
"u5917f2d6271b091594d020a4bc6a12eb|1516895286230" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516895288709" 
"u5917f2d6271b091594d020a4bc6a12eb|1516895288804" 
"u5917f2d6271b091594d020a4bc6a12eb|1516895289458" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895289108" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516895290056" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516895292203" 
"ucfeff0974100dd03716b78aeb0724282|1516895294033" 
"u12505e322c5aec14626620fb1964aed7|1516895311926" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895319077" 
"u8daac0802f1fd3ad40e5c6983bebb1c1|1516895338311" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895515385" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516895516006" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895515976" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895516726" 
"ue5103eb1a5518db340e4ed6e0ca393a2|1516895516374" 
"uc31aaba803b80d1d21fe16d08b596d8a|1516895559894" 
"u89082da7aed58c3543703e20d9f9b2d2|1516895623556" 
"u391ac4887f775f53514723f5d888a551|1516895704419" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516895711594" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895717338" 
"u391ac4887f775f53514723f5d888a551|1516895717698" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516895717578" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895718032" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516895718259" 
"u391ac4887f775f53514723f5d888a551|1516895718454" 
"u84ef1a6541dca0d692e5e9b1eab12fda|1516895748854" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895851704" 
"ucead726c4d61dc0e315b7bfa53e37a5d|1516895854767" 
"u210bb1e7460bf6a95a5a9f85dd74362b|1516895868422" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895905558" 
"ucead726c4d61dc0e315b7bfa53e37a5d|1516895905992" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895906287" 
"u210bb1e7460bf6a95a5a9f85dd74362b|1516895914094" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895922338" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895922987" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895941016" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895941669" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895953129" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895953702" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895962341" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895962986" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895971266" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895971838" 
"ucead726c4d61dc0e315b7bfa53e37a5d|1516895981359" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895983920" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895984584" 
"ucead726c4d61dc0e315b7bfa53e37a5d|1516895984412" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516895990729" 
"ucead726c4d61dc0e315b7bfa53e37a5d|1516895991304" 
"u391ac4887f775f53514723f5d888a551|1516895993352" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516895993941" 
"u391ac4887f775f53514723f5d888a551|1516896011845" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516896011501" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516896012194" 
"ucead726c4d61dc0e315b7bfa53e37a5d|1516896033430" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516896041396" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516896041581" 
"u46c5a7fc7e5c65bc38a1954aeacb8942|1516896042210" 
"ucead726c4d61dc0e315b7bfa53e37a5d|1516896042323" 
"ud9f20ec8e44741636e6f7e9108f625c5|1516896041795" 
"u4a094ce7651a4a6b5e57807d838dfca4|1516896051004" 
"ucead726c4d61dc0e315b7bfa53e37a5d|1516896051809" 
