"u2c27bc1aee37a203acaba58bc9d32941|1520065645746" 
"uc6d3fabee6a7a3f50297c744a1bfb047|1520066297093" 
"uf88b754d91a2e1f8afa7afd466fad201|1520066300532" 
"u350635f4279ff5f9060ac782deb6d73e|1520066301060" 
"uc6d3fabee6a7a3f50297c744a1bfb047|1520066304751" 
"uf88b754d91a2e1f8afa7afd466fad201|1520066306892" 
"uc6d3fabee6a7a3f50297c744a1bfb047|1520066308176" 
"ub30b489557b55825b182305fa0f2dc22|1520066314049" 
"u14b0f961cd6ee0a892109a262a27e64c|1520066336333" 
"u3a03c248707f78eccfdf6a8933fc0174|1520066338668" 
"u0ebc7350f88d0c03d28f12a710c440bc|1520066359290" 
"ue11d3893ef77381b257e674721acdc3d|1520066361338" 
"u359a3168c0157318c835df9438035eb9|1520066371921" 
"u08afc020dd86acde191d782701194d34|1520066378135" 
"uc60f0b35a56162cdda5e4b1f14fbe912|1520066446448" 
"u595c1333ff3b994d36554101c0c57a11|1520066447725" 
"u2f1514dd7e78cd858942308024cfa0c1|1520066552666" 
"u29db77a8b165ef655eefa705b4432a09|1520066596425" 
"u7eb581ff24dc8cb86a0dd37f2db1878d|1520066609118" 
"u350635f4279ff5f9060ac782deb6d73e|1520066610232" 
"uef3acfd0927e1ebe3c3cded34d0eba90|1520066635078" 
"uf88b754d91a2e1f8afa7afd466fad201|1520066819911" 
"ub30b489557b55825b182305fa0f2dc22|1520066823086" 
"u29db77a8b165ef655eefa705b4432a09|1520066824175" 
"u595c1333ff3b994d36554101c0c57a11|1520066825723" 
"uef3acfd0927e1ebe3c3cded34d0eba90|1520066826271" 
"u14b0f961cd6ee0a892109a262a27e64c|1520066838331" 
"u698da119321d8049f2e51c21f06e0efe|1520066840966" 
"u3a03c248707f78eccfdf6a8933fc0174|1520066891687" 
"uc60f0b35a56162cdda5e4b1f14fbe912|1520066942970" 
"u0ebc7350f88d0c03d28f12a710c440bc|1520066946552" 
"u350635f4279ff5f9060ac782deb6d73e|1520067011862" 
"ub14ebbe577a5cb9ca1e30e991ef46573|1520067078380" 
"u1b7ecec8826766010d98f2a90b767505|1520067123184" 
"u7eb581ff24dc8cb86a0dd37f2db1878d|1520067182828" 
"uf88b754d91a2e1f8afa7afd466fad201|1520067394463" 
"u29db77a8b165ef655eefa705b4432a09|1520067396530" 
"uc6d3fabee6a7a3f50297c744a1bfb047|1520067397285" 
"u14b0f961cd6ee0a892109a262a27e64c|1520067399597" 
"u2f1514dd7e78cd858942308024cfa0c1|1520067406157" 
"u2ac6ad4a4076033654bd06a8299762a9|1520067406871" 
"uaa679b06ec78548375292f244633b99e|1520067411787" 
"uc60f0b35a56162cdda5e4b1f14fbe912|1520067420351" 
"uef3acfd0927e1ebe3c3cded34d0eba90|1520067429580" 
"ub30b489557b55825b182305fa0f2dc22|1520067482061" 
"u359a3168c0157318c835df9438035eb9|1520067551995" 
"ub14ebbe577a5cb9ca1e30e991ef46573|1520067623104" 
"uc0a669935a81db1c2ae9e5b295964477|1520067746262" 
"u3a03c248707f78eccfdf6a8933fc0174|1520067772326" 
"u69243ffd523b8bb3aebae10b52c45bdd|1520067953009" 
"uf88b754d91a2e1f8afa7afd466fad201|1520068036883" 
"u2f1514dd7e78cd858942308024cfa0c1|1520068037229" 
"u69243ffd523b8bb3aebae10b52c45bdd|1520068037333" 
"u29db77a8b165ef655eefa705b4432a09|1520068038098" 
"ub30b489557b55825b182305fa0f2dc22|1520068040888" 
"uef3acfd0927e1ebe3c3cded34d0eba90|1520068050890" 
"u9ecca9848fa79529e75623137c7a4314|1520068060515" 
"u0ebc7350f88d0c03d28f12a710c440bc|1520068064667" 
"uc60f0b35a56162cdda5e4b1f14fbe912|1520068068904" 
"u7eb581ff24dc8cb86a0dd37f2db1878d|1520068081201" 
"u350635f4279ff5f9060ac782deb6d73e|1520068118812" 
"ucd451852df1cd47cd4ff3cc199a7d25e|1520068162317" 
"u14b0f961cd6ee0a892109a262a27e64c|1520068171130" 
"u5de998c093b9b041bbef5f34c7321bb0|1520068408233" 
"uf88b754d91a2e1f8afa7afd466fad201|1520068412730" 
"u5de998c093b9b041bbef5f34c7321bb0|1520068413133" 
"u29db77a8b165ef655eefa705b4432a09|1520068415174" 
"u69243ffd523b8bb3aebae10b52c45bdd|1520068440672" 
"uef3acfd0927e1ebe3c3cded34d0eba90|1520068441452" 
"ub30b489557b55825b182305fa0f2dc22|1520068450795" 
